temperature,date,mois,wind_dire,wind_speed,id
15,"2018-04-08 23:00:00",65,从西南偏西方向吹来的风,4,277
21,"2018-04-08 17:00:00",40,从西南偏南方向吹来的风,4,278
18,"2018-04-08 14:00:00",49,从西南方吹来的风,4,279
13,"2018-04-08 11:00:00",62,从西南方吹来的风,4,280
9,"2018-04-08 08:00:00",79,从西南偏南方向吹来的风,1,281
10,"2018-04-07 23:00:00",68,从西南方吹来的风,2,282
9,"2018-04-08 05:00:00",76,从西南偏西方向吹来的风,3,283
9,"2018-04-08 02:00:00",72,从西南方吹来的风,2,284
11,"2018-04-07 20:00:00",57,从西南偏南方向吹来的风,2,285
13,"2018-04-07 17:00:00",45,从南方吹来的风,3,286
6,"2018-04-07 08:00:00",79,从东北偏东方向吹来的风,4,287
9,"2018-04-07 11:00:00",55,从东南方吹来的风,4,288
12,"2018-04-07 14:00:00",51,从南方吹来的风,3,289
5,"2018-04-07 05:00:00",89,从东北偏东方向吹来的风,4,290
6,"2018-04-07 02:00:00",84,从东北偏东方向吹来的风,4,291
7,"2018-04-06 23:00:00",76,从东北方吹来的风,4,292
8,"2018-04-06 20:00:00",75,从东北方吹来的风,4,293
11,"2018-04-06 17:00:00",52,从东北方吹来的风,7,294
13,"2018-04-06 14:00:00",47,从东北方吹来的风,6,295
11,"2018-04-06 08:00:00",67,从东北偏东方向吹来的风,3,296
11,"2018-04-06 11:00:00",59,从东北偏东方向吹来的风,5,297
12,"2018-04-06 05:00:00",69,从东北方吹来的风,3,298
14,"2018-04-06 02:00:00",64,从东北方吹来的风,3,299
15,"2018-04-05 23:00:00",53,从东南偏东方向吹来的风,1,300
23,"2018-04-05 17:00:00",28,从西南方吹来的风,5,301
20,"2018-04-05 20:00:00",36,从西南方吹来的风,3,302
20,"2018-04-05 11:00:00",30,从西南偏西方向吹来的风,10,303
14,"2018-04-05 08:00:00",54,从西南方吹来的风,1,304
24,"2018-04-05 14:00:00",26,从西南偏西方向吹来的风,5,305
15,"2018-04-05 05:00:00",53,从西南方吹来的风,2,306
18,"2018-04-04 23:00:00",44,从西南偏南方向吹来的风,2,307
16,"2018-04-05 02:00:00",50,从西南偏南方向吹来的风,3,308
20,"2018-04-04 20:00:00",35,从西南偏西方向吹来的风,3,309
25,"2018-04-04 14:00:00",32,从西南方吹来的风,4,310
23,"2018-04-04 17:00:00",30,从西南方吹来的风,6,311
21,"2018-04-04 11:00:00",49,从西南方吹来的风,5,312
15,"2018-04-04 08:00:00",77,从西方吹来的风,2,313
15,"2018-04-04 05:00:00",78,从西北偏北方向吹来的风,1,314
19,"2018-04-03 23:00:00",44,从西南方吹来的风,3,315
16,"2018-04-04 02:00:00",66,从西南方吹来的风,1,316
22,"2018-04-03 20:00:00",29,从西南方吹来的风,4,317
26,"2018-04-03 17:00:00",20,从西南偏西方向吹来的风,4,318
25,"2018-04-03 14:00:00",22,从西南偏西方向吹来的风,5,319
14,"2018-04-03 08:00:00",79,从西南方吹来的风,1,320
20,"2018-04-03 11:00:00",46,从西南偏南方向吹来的风,4,321
15,"2018-04-03 05:00:00",71,从西南方吹来的风,2,322
18,"2018-04-02 23:00:00",49,从西南偏西方向吹来的风,2,323
21,"2018-04-02 20:00:00",37,从西南偏南方向吹来的风,3,324
14,"2018-04-03 02:00:00",72,从东北偏北方向吹来的风,1,325
24,"2018-04-02 14:00:00",26,从西南偏西方向吹来的风,2,326
10,"2018-04-02 08:00:00",91,无风,0,327
22,"2018-04-02 11:00:00",31,从西南偏西方向吹来的风,6,328
25,"2018-04-02 17:00:00",18,从西南方吹来的风,6,329
9,"2018-04-02 05:00:00",92,从西南方吹来的风,1,330
13,"2018-04-02 02:00:00",61,从南方吹来的风,1,331
21,"2018-04-01 20:00:00",33,从西南方吹来的风,3,332
17,"2018-04-01 23:00:00",49,从西南偏西方向吹来的风,2,333
24,"2018-04-01 17:00:00",25,从南方吹来的风,4,334
24,"2018-04-01 14:00:00",31,从西南偏西方向吹来的风,3,335
